group_col,group_value,n,default_rate_true,acceptance_rate,refusal_rate,FPR,FNR
CODE_GENDER,F,40561,0.06991938068588052,0.7411799511846355,0.2588200488153645,0.2303247183565275,0.36212976022566995
CODE_GENDER,M,20940,0.10167144221585482,0.5948424068767908,0.40515759312320915,0.3640954760512466,0.23203381869422263
CODE_GENDER,XNA,2,0.0,0.0,1.0,1.0,
NAME_EDUCATION_TYPE,Secondary / secondary special,43623,0.09036517433463999,0.6524310570112097,0.3475689429887903,0.3105264484261989,0.2795535261288686
NAME_EDUCATION_TYPE,Higher education,15061,0.05198857977557931,0.8167452360401036,0.18325476395989643,0.16339823504692533,0.454661558109834
NAME_EDUCATION_TYPE,Incomplete higher,1988,0.0789738430583501,0.6312877263581489,0.3687122736418511,0.3364281813216821,0.25477707006369427
NAME_EDUCATION_TYPE,Lower secondary,791,0.10366624525916561,0.595448798988622,0.404551201011378,0.36671368124118475,0.2682926829268293
NAME_EDUCATION_TYPE,Academic degree,40,0.025,0.775,0.225,0.23076923076923078,1.0
NAME_FAMILY_STATUS,Married,39279,0.07663127880037679,0.7087756816619568,0.29122431833804324,0.2589539275965701,0.31993355481727576
NAME_FAMILY_STATUS,Single / not married,9085,0.09257017061089708,0.620253164556962,0.379746835443038,0.3407326540514313,0.23781212841854935
NAME_FAMILY_STATUS,Civil marriage,5963,0.09659567331879926,0.6169713231594834,0.3830286768405165,0.3465750881752367,0.2760416666666667
NAME_FAMILY_STATUS,Separated,3930,0.09033078880407125,0.7086513994910941,0.2913486005089059,0.25314685314685315,0.323943661971831
NAME_FAMILY_STATUS,Widow,3246,0.056377079482439925,0.7948243992606284,0.20517560073937152,0.1851126346718903,0.45901639344262296
AGE_YEARS,37.12,82,0.13414634146341464,0.6585365853658537,0.34146341463414637,0.30985915492957744,0.45454545454545453
AGE_YEARS,65.0,81,0.04938271604938271,0.8024691358024691,0.19753086419753085,0.16883116883116883,0.25
AGE_YEARS,41.38,79,0.06329113924050633,0.6962025316455697,0.3037974683544304,0.28378378378378377,0.4
AGE_YEARS,40.38,78,0.07692307692307693,0.8205128205128205,0.1794871794871795,0.1527777777777778,0.5
AGE_YEARS,53.88,77,0.06493506493506493,0.7142857142857143,0.2857142857142857,0.2361111111111111,0.0
AGE_YEARS,36.38,77,0.09090909090909091,0.7012987012987013,0.2987012987012987,0.2714285714285714,0.42857142857142855
AGE_YEARS,64.7,77,0.05194805194805195,0.8831168831168831,0.11688311688311688,0.0958904109589041,0.5
AGE_YEARS,41.12,76,0.05263157894736842,0.8157894736842105,0.18421052631578946,0.16666666666666666,0.5
AGE_YEARS,36.62,76,0.07894736842105263,0.6447368421052632,0.35526315789473684,0.3142857142857143,0.16666666666666666
AGE_YEARS,36.88,75,0.08,0.68,0.32,0.3188405797101449,0.6666666666666666
AGE_YEARS,40.62,75,0.08,0.7466666666666667,0.25333333333333335,0.2463768115942029,0.6666666666666666
AGE_YEARS,45.12,75,0.09333333333333334,0.6266666666666667,0.37333333333333335,0.35294117647058826,0.42857142857142855
AGE_YEARS,37.62,74,0.02702702702702703,0.6621621621621622,0.33783783783783783,0.3333333333333333,0.5
AGE_YEARS,64.5,73,0.0273972602739726,0.8493150684931506,0.1506849315068493,0.15492957746478872,1.0
AGE_YEARS,42.62,73,0.0410958904109589,0.7534246575342466,0.2465753424657534,0.2571428571428571,1.0
AGE_YEARS,39.12,73,0.0821917808219178,0.6438356164383562,0.3561643835616438,0.31343283582089554,0.16666666666666666
AGE_YEARS,40.88,73,0.0410958904109589,0.6301369863013698,0.3698630136986301,0.34285714285714286,0.0
AGE_YEARS,35.88,73,0.1095890410958904,0.5068493150684932,0.4931506849315068,0.4461538461538462,0.125
AGE_YEARS,42.88,72,0.08333333333333333,0.6666666666666666,0.3333333333333333,0.2878787878787879,0.16666666666666666
AGE_YEARS,35.62,72,0.1111111111111111,0.5833333333333334,0.4166666666666667,0.375,0.25
AGE_YEARS,64.6,72,0.06944444444444445,0.8888888888888888,0.1111111111111111,0.1044776119402985,0.8
AGE_YEARS,64.25,71,0.056338028169014086,0.8028169014084507,0.19718309859154928,0.1791044776119403,0.5
AGE_YEARS,52.38,71,0.04225352112676056,0.7746478873239436,0.22535211267605634,0.20588235294117646,0.3333333333333333
AGE_YEARS,39.38,71,0.08450704225352113,0.6619718309859155,0.3380281690140845,0.2923076923076923,0.16666666666666666
AGE_YEARS,39.7,71,0.09859154929577464,0.704225352112676,0.29577464788732394,0.234375,0.14285714285714285
AGE_YEARS,41.66,70,0.12857142857142856,0.7285714285714285,0.2714285714285714,0.19672131147540983,0.2222222222222222
AGE_YEARS,39.62,70,0.1,0.6285714285714286,0.37142857142857144,0.3333333333333333,0.2857142857142857
AGE_YEARS,64.56,70,0.04285714285714286,0.8142857142857143,0.18571428571428572,0.16417910447761194,0.3333333333333333
AGE_YEARS,44.88,70,0.04285714285714286,0.7142857142857143,0.2857142857142857,0.2835820895522388,0.6666666666666666
AGE_YEARS,41.1,69,0.10144927536231885,0.7246376811594203,0.2753623188405797,0.22580645161290322,0.2857142857142857
AGE_YEARS,38.12,69,0.07246376811594203,0.6521739130434783,0.34782608695652173,0.296875,0.0
AGE_YEARS,38.88,69,0.07246376811594203,0.7391304347826086,0.2608695652173913,0.203125,0.0
AGE_YEARS,38.03,69,0.043478260869565216,0.6956521739130435,0.30434782608695654,0.30303030303030304,0.6666666666666666
AGE_YEARS,64.1,69,0.043478260869565216,0.7971014492753623,0.2028985507246377,0.19696969696969696,0.6666666666666666
AGE_YEARS,35.2,69,0.14492753623188406,0.6231884057971014,0.37681159420289856,0.3050847457627119,0.2
AGE_YEARS,41.62,69,0.057971014492753624,0.7246376811594203,0.2753623188405797,0.26153846153846155,0.5
AGE_YEARS,44.12,69,0.14492753623188406,0.6521739130434783,0.34782608695652173,0.288135593220339,0.3
AGE_YEARS,43.62,68,0.058823529411764705,0.7647058823529411,0.23529411764705882,0.21875,0.5
AGE_YEARS,33.12,68,0.08823529411764706,0.5147058823529411,0.4852941176470588,0.43548387096774194,0.0
AGE_YEARS,39.88,68,0.1323529411764706,0.6617647058823529,0.3382352941176471,0.2711864406779661,0.2222222222222222
AGE_YEARS,64.06,67,0.07462686567164178,0.8656716417910447,0.13432835820895522,0.06451612903225806,0.0
